song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
14nIFzHQf1OBWf6VHVR8DF,0.711,0.724,7,-4.809,1,0.106,0.0835,0,0.0389,0.478,104.048,audio_features,14nIFzHQf1OBWf6VHVR8DF,spotify:track:14nIFzHQf1OBWf6VHVR8DF,https://api.spotify.com/v1/tracks/14nIFzHQf1OBWf6VHVR8DF,https://api.spotify.com/v1/audio-analysis/14nIFzHQf1OBWf6VHVR8DF,208947,4
1etiUDkISHELzQGMY79ryt,0.504,0.821,8,-3.356,1,0.0598,0.275,0,0.0418,0.458,155.131,audio_features,1etiUDkISHELzQGMY79ryt,spotify:track:1etiUDkISHELzQGMY79ryt,https://api.spotify.com/v1/tracks/1etiUDkISHELzQGMY79ryt,https://api.spotify.com/v1/audio-analysis/1etiUDkISHELzQGMY79ryt,201799,4
7iDa6hUg2VgEL1o1HjmfBn,0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,audio_features,7iDa6hUg2VgEL1o1HjmfBn,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,163870,4
0SA903LGHxe4ExdRY2SqVH,0.262,0.789,10,-4.548,1,0.123,0.00422,0,0.325,0.487,171.009,audio_features,0SA903LGHxe4ExdRY2SqVH,spotify:track:0SA903LGHxe4ExdRY2SqVH,https://api.spotify.com/v1/tracks/0SA903LGHxe4ExdRY2SqVH,https://api.spotify.com/v1/audio-analysis/0SA903LGHxe4ExdRY2SqVH,199357,3
05OCY605lOXP7koHNBMPc2,0.666,0.435,6,-8.089,0,0.0391,0.369,0,0.106,0.6,114.963,audio_features,05OCY605lOXP7koHNBMPc2,spotify:track:05OCY605lOXP7koHNBMPc2,https://api.spotify.com/v1/tracks/05OCY605lOXP7koHNBMPc2,https://api.spotify.com/v1/audio-analysis/05OCY605lOXP7koHNBMPc2,153931,4
5H9H0i7UCmRDCZRHldbmhN,0.876,0.649,0,-4.369,1,0.0691,0.223,0,0.332,0.742,95.034,audio_features,5H9H0i7UCmRDCZRHldbmhN,spotify:track:5H9H0i7UCmRDCZRHldbmhN,https://api.spotify.com/v1/tracks/5H9H0i7UCmRDCZRHldbmhN,https://api.spotify.com/v1/audio-analysis/5H9H0i7UCmRDCZRHldbmhN,203680,4
3WVhkjB7Y4xFruqoCAajBb,0.46,0.809,6,-5.415,1,0.326,0.0422,5.04E-05,0.138,0.609,157.184,audio_features,3WVhkjB7Y4xFruqoCAajBb,spotify:track:3WVhkjB7Y4xFruqoCAajBb,https://api.spotify.com/v1/tracks/3WVhkjB7Y4xFruqoCAajBb,https://api.spotify.com/v1/audio-analysis/3WVhkjB7Y4xFruqoCAajBb,179227,4
3WKBNbYx32xlJQ0puFCnAJ,0.669,0.656,0,-7.1,1,0.112,0.0991,0,0.268,0.592,102.062,audio_features,3WKBNbYx32xlJQ0puFCnAJ,spotify:track:3WKBNbYx32xlJQ0puFCnAJ,https://api.spotify.com/v1/tracks/3WKBNbYx32xlJQ0puFCnAJ,https://api.spotify.com/v1/audio-analysis/3WKBNbYx32xlJQ0puFCnAJ,201173,4
0o9bHFc8Lt5tZFvTjNZTNf,0.651,0.617,8,-6.077,1,0.0309,0.179,0,0.113,0.591,121.977,audio_features,0o9bHFc8Lt5tZFvTjNZTNf,spotify:track:0o9bHFc8Lt5tZFvTjNZTNf,https://api.spotify.com/v1/tracks/0o9bHFc8Lt5tZFvTjNZTNf,https://api.spotify.com/v1/audio-analysis/0o9bHFc8Lt5tZFvTjNZTNf,167912,4
2wVDWtLKXunswWecARNILj,0.751,0.642,3,-5.165,0,0.087,0.0861,0,0.0953,0.388,95.045,audio_features,2wVDWtLKXunswWecARNILj,spotify:track:2wVDWtLKXunswWecARNILj,https://api.spotify.com/v1/tracks/2wVDWtLKXunswWecARNILj,https://api.spotify.com/v1/audio-analysis/2wVDWtLKXunswWecARNILj,169567,4
1hLjLWrzO18acdCFcccFWk,0.629,0.686,8,-4.851,1,0.0626,0.0365,2.37E-05,0.0709,0.731,91.05,audio_features,1hLjLWrzO18acdCFcccFWk,spotify:track:1hLjLWrzO18acdCFcccFWk,https://api.spotify.com/v1/tracks/1hLjLWrzO18acdCFcccFWk,https://api.spotify.com/v1/audio-analysis/1hLjLWrzO18acdCFcccFWk,179896,4
5WvAo7DNuPRmk4APhdPzi8,0.552,0.76,0,-4.706,1,0.342,0.0733,0,0.0865,0.639,135.702,audio_features,5WvAo7DNuPRmk4APhdPzi8,spotify:track:5WvAo7DNuPRmk4APhdPzi8,https://api.spotify.com/v1/tracks/5WvAo7DNuPRmk4APhdPzi8,https://api.spotify.com/v1/audio-analysis/5WvAo7DNuPRmk4APhdPzi8,260000,5
