song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,aures__id,uri,track_href,analysis_url,duration_ms,time_signature
5tajmvqHF6YW1iiUFzKpCB,0.313,0.429,6,-7.415,1,0.0343,0.787,0,0.0863,0.416,77.27,audio_features,5tajmvqHF6YW1iiUFzKpCB,spotify:track:5tajmvqHF6YW1iiUFzKpCB,https://api.spotify.com/v1/tracks/5tajmvqHF6YW1iiUFzKpCB,https://api.spotify.com/v1/audio-analysis/5tajmvqHF6YW1iiUFzKpCB,184213,4
2ELVVIbpucfOqGFC21Q4yR,0.525,0.439,0,-6.596,1,0.0259,0.658,0,0.0636,0.238,84.956,audio_features,2ELVVIbpucfOqGFC21Q4yR,spotify:track:2ELVVIbpucfOqGFC21Q4yR,https://api.spotify.com/v1/tracks/2ELVVIbpucfOqGFC21Q4yR,https://api.spotify.com/v1/audio-analysis/2ELVVIbpucfOqGFC21Q4yR,229640,4
0QZ5yyl6B6utIWkxeBDxQN,0.441,0.379,2,-9.545,1,0.0449,0.968,0.262,0.639,0.105,174.118,audio_features,0QZ5yyl6B6utIWkxeBDxQN,spotify:track:0QZ5yyl6B6utIWkxeBDxQN,https://api.spotify.com/v1/tracks/0QZ5yyl6B6utIWkxeBDxQN,https://api.spotify.com/v1/audio-analysis/0QZ5yyl6B6utIWkxeBDxQN,208227,3
7oHijHxh7cI40fNC4S619V,0.675,0.413,5,-8.051,1,0.0351,0.715,6.64E-05,0.104,0.206,139.979,audio_features,7oHijHxh7cI40fNC4S619V,spotify:track:7oHijHxh7cI40fNC4S619V,https://api.spotify.com/v1/tracks/7oHijHxh7cI40fNC4S619V,https://api.spotify.com/v1/audio-analysis/7oHijHxh7cI40fNC4S619V,218947,4
3g2koMSfvsAGKcBAHyFtUF,0.553,0.274,1,-12.564,1,0.0379,0.798,7.13E-06,0.103,0.208,86.672,audio_features,3g2koMSfvsAGKcBAHyFtUF,spotify:track:3g2koMSfvsAGKcBAHyFtUF,https://api.spotify.com/v1/tracks/3g2koMSfvsAGKcBAHyFtUF,https://api.spotify.com/v1/audio-analysis/3g2koMSfvsAGKcBAHyFtUF,186584,4
06DaCxeg3IUMcxDkKEyQKf,0.553,0.507,11,-6.24,1,0.0304,0.473,0,0.108,0.57,83.093,audio_features,06DaCxeg3IUMcxDkKEyQKf,spotify:track:06DaCxeg3IUMcxDkKEyQKf,https://api.spotify.com/v1/tracks/06DaCxeg3IUMcxDkKEyQKf,https://api.spotify.com/v1/audio-analysis/06DaCxeg3IUMcxDkKEyQKf,187027,4
1Pw5C4N6Fn5E4mGCxmbbVa,0.4,0.564,10,-7.444,1,0.0523,0.693,0,0.0863,0.483,99.269,audio_features,1Pw5C4N6Fn5E4mGCxmbbVa,spotify:track:1Pw5C4N6Fn5E4mGCxmbbVa,https://api.spotify.com/v1/tracks/1Pw5C4N6Fn5E4mGCxmbbVa,https://api.spotify.com/v1/audio-analysis/1Pw5C4N6Fn5E4mGCxmbbVa,211240,4
7tTRP2vA00uScZ4SjB3ZQZ,0.618,0.624,1,-7.318,1,0.0835,0.541,0,0.628,0.379,119.644,audio_features,7tTRP2vA00uScZ4SjB3ZQZ,spotify:track:7tTRP2vA00uScZ4SjB3ZQZ,https://api.spotify.com/v1/tracks/7tTRP2vA00uScZ4SjB3ZQZ,https://api.spotify.com/v1/audio-analysis/7tTRP2vA00uScZ4SjB3ZQZ,198351,4
0Bk7mrbKzHMTfmJrXAJ5Jg,0.477,0.546,7,-6.893,1,0.0284,0.0735,0,0.0727,0.124,126.112,audio_features,0Bk7mrbKzHMTfmJrXAJ5Jg,spotify:track:0Bk7mrbKzHMTfmJrXAJ5Jg,https://api.spotify.com/v1/tracks/0Bk7mrbKzHMTfmJrXAJ5Jg,https://api.spotify.com/v1/audio-analysis/0Bk7mrbKzHMTfmJrXAJ5Jg,326162,4
2TmLZLv57mW4OA3Il1ULsf,0.682,0.175,1,-8.688,1,0.0313,0.847,3.21E-05,0.101,0.223,112.661,audio_features,2TmLZLv57mW4OA3Il1ULsf,spotify:track:2TmLZLv57mW4OA3Il1ULsf,https://api.spotify.com/v1/tracks/2TmLZLv57mW4OA3Il1ULsf,https://api.spotify.com/v1/audio-analysis/2TmLZLv57mW4OA3Il1ULsf,260004,4
3FN40c3kn4fG46JcrGBYD7,0.579,0.292,0,-9.232,1,0.0305,0.722,1.63E-06,0.108,0.145,122.363,audio_features,3FN40c3kn4fG46JcrGBYD7,spotify:track:3FN40c3kn4fG46JcrGBYD7,https://api.spotify.com/v1/tracks/3FN40c3kn4fG46JcrGBYD7,https://api.spotify.com/v1/audio-analysis/3FN40c3kn4fG46JcrGBYD7,274587,4
3gwJhiaCPcdLgPePwxPd1S,0.746,0.174,7,-8.717,0,0.0507,0.944,0,0.0995,0.314,132.175,audio_features,3gwJhiaCPcdLgPePwxPd1S,spotify:track:3gwJhiaCPcdLgPePwxPd1S,https://api.spotify.com/v1/tracks/3gwJhiaCPcdLgPePwxPd1S,https://api.spotify.com/v1/audio-analysis/3gwJhiaCPcdLgPePwxPd1S,238089,4
22uyZjmZR0DX8FyrIwQl35,0.437,0.301,0,-8.519,1,0.0384,0.645,0,0.117,0.203,126.016,audio_features,22uyZjmZR0DX8FyrIwQl35,spotify:track:22uyZjmZR0DX8FyrIwQl35,https://api.spotify.com/v1/tracks/22uyZjmZR0DX8FyrIwQl35,https://api.spotify.com/v1/audio-analysis/22uyZjmZR0DX8FyrIwQl35,219000,4
4qPtIDBT2iVQv13tjpXMDt,0.453,0.377,1,-8.466,1,0.0896,0.635,1.8E-06,0.099,0.222,149.95,audio_features,4qPtIDBT2iVQv13tjpXMDt,spotify:track:4qPtIDBT2iVQv13tjpXMDt,https://api.spotify.com/v1/tracks/4qPtIDBT2iVQv13tjpXMDt,https://api.spotify.com/v1/audio-analysis/4qPtIDBT2iVQv13tjpXMDt,162732,4
60wa5J6SkXtBXHySQ3PoNB,0.461,0.29,1,-7.999,1,0.0349,0.855,0,0.103,0.412,144.739,audio_features,60wa5J6SkXtBXHySQ3PoNB,spotify:track:60wa5J6SkXtBXHySQ3PoNB,https://api.spotify.com/v1/tracks/60wa5J6SkXtBXHySQ3PoNB,https://api.spotify.com/v1/audio-analysis/60wa5J6SkXtBXHySQ3PoNB,194547,4
18UsAG7SfOQ5sxJEdjAMH0,0.563,0.159,6,-14.415,1,0.0361,0.845,0.00017,0.0938,0.101,109.97,audio_features,18UsAG7SfOQ5sxJEdjAMH0,spotify:track:18UsAG7SfOQ5sxJEdjAMH0,https://api.spotify.com/v1/tracks/18UsAG7SfOQ5sxJEdjAMH0,https://api.spotify.com/v1/audio-analysis/18UsAG7SfOQ5sxJEdjAMH0,256689,3
14JzyD6FlBD5z0wV5P07YI,0.498,0.104,1,-14.08,0,0.0621,0.979,7.86E-05,0.0895,0.205,124.001,audio_features,14JzyD6FlBD5z0wV5P07YI,spotify:track:14JzyD6FlBD5z0wV5P07YI,https://api.spotify.com/v1/tracks/14JzyD6FlBD5z0wV5P07YI,https://api.spotify.com/v1/audio-analysis/14JzyD6FlBD5z0wV5P07YI,199931,3
5vtyFzfLkCSJvXEZFjQAa1,0.426,0.476,2,-6.64,1,0.0741,0.185,0,0.327,0.169,179.793,audio_features,5vtyFzfLkCSJvXEZFjQAa1,spotify:track:5vtyFzfLkCSJvXEZFjQAa1,https://api.spotify.com/v1/tracks/5vtyFzfLkCSJvXEZFjQAa1,https://api.spotify.com/v1/audio-analysis/5vtyFzfLkCSJvXEZFjQAa1,232759,4
4IhKLu7Vk3j2TLmnFPl6To,0.723,0.504,8,-5.572,1,0.0392,0.388,7.4E-05,0.087,0.551,133.975,audio_features,4IhKLu7Vk3j2TLmnFPl6To,spotify:track:4IhKLu7Vk3j2TLmnFPl6To,https://api.spotify.com/v1/tracks/4IhKLu7Vk3j2TLmnFPl6To,https://api.spotify.com/v1/audio-analysis/4IhKLu7Vk3j2TLmnFPl6To,218893,4
6eT7xZZlB2mwyzJ2sUKG6w,0.675,0.562,7,-7.678,1,0.0352,0.233,0,0.0816,0.309,130.098,audio_features,6eT7xZZlB2mwyzJ2sUKG6w,spotify:track:6eT7xZZlB2mwyzJ2sUKG6w,https://api.spotify.com/v1/tracks/6eT7xZZlB2mwyzJ2sUKG6w,https://api.spotify.com/v1/audio-analysis/6eT7xZZlB2mwyzJ2sUKG6w,256533,4
7pHECccR6FiKZqFhjULGbB,0.619,0.554,2,-10.222,0,0.0522,0.772,0.00182,0.0916,0.634,148.972,audio_features,7pHECccR6FiKZqFhjULGbB,spotify:track:7pHECccR6FiKZqFhjULGbB,https://api.spotify.com/v1/tracks/7pHECccR6FiKZqFhjULGbB,https://api.spotify.com/v1/audio-analysis/7pHECccR6FiKZqFhjULGbB,194375,4
1tT55K6VEyO6XFDxK4lDQe,0.499,0.181,9,-15.359,0,0.0429,0.745,0.00123,0.106,0.0747,111.956,audio_features,1tT55K6VEyO6XFDxK4lDQe,spotify:track:1tT55K6VEyO6XFDxK4lDQe,https://api.spotify.com/v1/tracks/1tT55K6VEyO6XFDxK4lDQe,https://api.spotify.com/v1/audio-analysis/1tT55K6VEyO6XFDxK4lDQe,214533,4
3EPXxR3ImUwfayaurPi3cm,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,audio_features,3EPXxR3ImUwfayaurPi3cm,spotify:track:3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,196373,4
38W08mmNoQEBQvIgJJHFYQ,0.564,0.356,9,-13.448,1,0.387,0.439,0,0.0979,0.496,61.638,audio_features,38W08mmNoQEBQvIgJJHFYQ,spotify:track:38W08mmNoQEBQvIgJJHFYQ,https://api.spotify.com/v1/tracks/38W08mmNoQEBQvIgJJHFYQ,https://api.spotify.com/v1/audio-analysis/38W08mmNoQEBQvIgJJHFYQ,189027,4
5dB00dkUFlruwbxVmdOPSE,0.686,0.172,1,-8.722,1,0.0329,0.839,1.81E-05,0.0793,0.197,112.655,audio_features,5dB00dkUFlruwbxVmdOPSE,spotify:track:5dB00dkUFlruwbxVmdOPSE,https://api.spotify.com/v1/tracks/5dB00dkUFlruwbxVmdOPSE,https://api.spotify.com/v1/audio-analysis/5dB00dkUFlruwbxVmdOPSE,260004,4
3pOhcQHAz18zAPWU3S2CsR,0.685,0.65,2,-5.879,1,0.041,0.218,3.73E-05,0.0758,0.575,82.01,audio_features,3pOhcQHAz18zAPWU3S2CsR,spotify:track:3pOhcQHAz18zAPWU3S2CsR,https://api.spotify.com/v1/tracks/3pOhcQHAz18zAPWU3S2CsR,https://api.spotify.com/v1/audio-analysis/3pOhcQHAz18zAPWU3S2CsR,218116,4
